UT,N_ION,VX_ION,VY_ION,VZ,TX_ION,TY_ION,TZ_ION,VT_ION,TT_ION
2009-09-15T16:43:06.074Z,22.286256,-79.451164,-64.503892,-25.903632,188.933,181.46751,120.44193,105.5662716,288.3268877
2009-09-15T16:43:09.206Z,24.680305,-86.457097,-62.236793,-26.876009,182.78953,180.95343,107.56057,109.8661362,278.7928125
2009-09-15T16:43:12.338Z,23.338031,-81.190011,-54.34982,-18.16012,191.25925,182.30829,106.73132,99.37560454,284.9701528
2009-09-15T16:43:15.470Z,21.791365,-78.450253,-60.48566,-14.464255,179.44774,184.89364,114.16162,100.1107983,281.8155868
2009-09-15T16:43:18.602Z,21.937769,-80.645477,-62.672499,-25.031707,181.46633,183.5644,119.01503,105.1576029,284.2366888
2009-09-15T16:43:21.734Z,22.084178,-82.878522,-58.502235,-20.294392,197.89634,188.90683,115.04206,103.4563833,296.788523
2009-09-15T16:43:24.866Z,22.785266,-82.941979,-60.818929,-20.933531,193.44551,181.85855,116.55796,104.9596433,289.9645764
2009-09-15T16:43:27.998Z,21.676367,-82.314575,-71.078626,-23.312489,186.55764,192.46889,121.24874,111.2264918,294.1925961
2009-09-15T16:43:31.130Z,20.684199,-89.851796,-65.518229,-32.909819,186.7466,188.38139,122.36703,115.9699951,292.1224585
2009-09-15T16:43:34.262Z,24.042042,-79.042988,-54.581649,-24.334512,185.33741,178.62521,113.59904,99.09146701,281.3568252
2009-09-15T16:43:37.394Z,23.604598,-81.144321,-66.082346,-35.737539,191.26407,180.7957,119.47973,110.5823177,289.040543
2009-09-15T16:43:40.527Z,22.028487,-80.597948,-64.330632,-29.361896,197.53749,196.00386,122.26978,107.2221077,303.9547206
2009-09-15T16:43:43.659Z,23.693152,-77.781298,-57.849129,-18.946273,186.49357,186.54522,118.32151,98.76949582,289.100243
2009-09-15T16:43:46.791Z,23.314068,-84.26567,-68.868341,-33.199811,181.3322,177.85964,124.13526,113.7795192,282.7100654
2009-09-15T16:43:49.923Z,22.438605,-90.048852,-60.515781,-28.624933,181.58418,181.17989,123.10663,112.2066945,284.524532
2009-09-15T16:43:53.055Z,26.351666,-81.351153,-54.613164,-22.129379,199.77979,184.17216,110.34624,100.4505709,293.2705947
2009-09-15T16:43:56.187Z,20.366383,-87.678981,-75.796489,-36.845543,183.91227,190.29889,121.2711,121.6153999,291.108348
2009-09-15T16:43:59.319Z,23.491166,-78.904679,-64.138406,-29.296144,187.06992,179.66453,115.31383,105.8203551,283.8516826
2009-09-15T16:44:02.451Z,21.476823,-90.483467,-71.696524,-39.198227,175.49931,183.11979,122.15585,121.9186219,281.5224982
2009-09-15T16:44:05.583Z,23.638129,-92.22705,-58.136899,-32.208134,184.61007,175.32522,116.34578,113.6797769,279.9216877
2009-09-15T16:44:08.715Z,23.697013,-76.930261,-59.12978,-26.974665,191.67826,177.69351,113.57924,100.7086317,284.9838287
2009-09-15T16:44:11.847Z,19.901224,-75.068646,-76.279121,-36.214936,177.36414,176.24361,122.93872,112.9837488,278.6283853
2009-09-15T16:44:14.979Z,20.98213,-89.156639,-77.561161,-41.547195,185.5473,180.43839,117.01546,125.2629609,284.0394885
2009-09-15T16:44:18.112Z,21.771045,-84.684382,-69.118269,-32.78488,189.37258,180.36407,111.12123,114.1211112,284.1497837
2009-09-15T16:44:21.244Z,22.149929,-74.897617,-64.175239,-32.626082,183.4592,183.9109,111.56292,103.8873215,282.7132511
2009-09-15T16:44:24.376Z,21.565145,-76.232965,-73.079257,-35.143659,184.13066,186.8525,110.1716,111.2974372,284.5272187
2009-09-15T16:44:27.508Z,20.571597,-85.133235,-69.604011,-31.838726,188.19599,192.67008,112.00623,114.4818349,291.6931366
2009-09-15T16:44:30.640Z,21.738863,-81.027555,-42.487287,-14.897227,203.97905,205.79665,114.10998,92.6960711,311.4174072
2009-09-15T16:44:33.772Z,20.599386,-62.116356,-34.696789,-7.5693612,183.60452,182.69981,109.55177,71.55140864,281.2319872
2009-09-15T16:44:36.904Z,20.160723,-77.796169,-38.903619,-7.1301732,183.22601,181.07782,111.69158,87.27299039,280.7774148
2009-09-15T16:44:40.036Z,20.481191,-85.423079,-48.451604,-15.240288,191.04171,176.5957,110.83755,99.38272855,282.7860299
2009-09-15T16:44:43.168Z,20.246927,-76.21278,-51.129473,-17.316379,196.02801,183.02334,114.56634,93.39415306,291.6332799
2009-09-15T16:44:46.300Z,20.450594,-78.915636,-53.281034,-12.412199,186.4889,192.19218,112.28251,96.02400155,290.384755
2009-09-15T16:44:49.432Z,19.369741,-75.269219,-58.266244,-14.972311,191.49758,190.6374,115.13487,96.35652866,293.7175169
2009-09-15T16:44:52.565Z,19.923731,-75.474221,-65.324599,-20.830878,193.71918,195.84357,113.18351,101.9685576,297.8125779
2009-09-15T16:44:55.697Z,20.944743,-79.648629,-70.256358,-30.535205,193.0826,189.64538,118.40204,110.5090887,295.4070135
2009-09-15T16:44:58.829Z,20.827264,-69.414558,-67.534336,-30.110329,180.99272,177.95404,116.50868,101.4194228,279.2852978
2009-09-15T16:45:01.961Z,22.227636,-74.800225,-64.402436,-35.760293,184.62887,181.03826,119.16385,104.983551,284.7151109
2009-09-15T16:45:05.093Z,19.716682,-70.112731,-56.29381,-11.22044,202.19445,194.44771,121.72531,90.61283776,305.7933267
2009-09-15T16:45:08.225Z,20.941872,-78.208419,-71.753441,-18.935129,196.76392,191.56916,115.18099,107.8130428,297.7942977
2009-09-15T16:45:11.357Z,20.795225,-74.414644,-74.727357,-22.748598,207.2658,193.21725,120.21607,107.8851975,307.8050049
2009-09-15T16:45:14.489Z,21.670071,-70.94977,-76.44279,-25.81039,204.49723,207.62822,120.45754,107.4408965,315.3388872
2009-09-15T16:45:17.621Z,21.990355,-63.51687,-73.303264,-21.475381,204.16298,204.37024,116.00902,99.34260555,311.3001929
2009-09-15T16:45:20.753Z,22.252251,-65.81428,-67.829956,-19.165085,184.61521,203.22095,107.7394,96.43507073,294.9394999
2009-09-15T16:45:23.885Z,23.973243,-55.443181,-51.932031,-15.723075,182.3056,187.6625,109.26327,77.57639622,283.5330807
2009-09-15T16:45:27.017Z,25.08131,-57.365862,-65.38073,-19.003096,191.9334,187.36615,104.82619,89.03145307,287.9809617
2009-09-15T16:45:30.150Z,20.674228,-74.715841,-86.743585,-27.756212,184.40045,186.61931,117.83006,117.8020108,287.6007925
2009-09-15T16:45:33.282Z,20.585981,-75.524407,-75.502153,-25.690234,192.08687,185.98446,126.21551,109.8385146,295.6652498
2009-09-15T16:45:36.414Z,22.686112,-75.979579,-70.959242,-27.916532,195.51848,187.91737,130.8145,107.6449869,301.0861129
2009-09-15T16:45:39.546Z,22.539447,-87.503718,-71.775819,-29.953821,198.48307,196.59702,129.25695,117.072201,307.8202015
2009-09-15T16:45:42.678Z,22.188562,-94.065846,-66.870862,-28.992132,207.67545,201.37734,134.29982,118.9984844,318.9331705
2009-09-15T16:45:45.810Z,25.017803,-86.631217,-61.791617,-27.495097,212.64828,198.4295,125.22478,109.9051957,316.6619696
2009-09-15T16:45:48.942Z,24.200066,-77.171792,-63.131116,-25.378704,192.0388,190.24571,116.32013,102.8839244,294.2833728
2009-09-15T16:45:52.074Z,23.469904,-82.191992,-60.199882,-27.103303,180.3698,188.91773,117.19925,105.4236139,286.2845397
2009-09-15T16:45:55.206Z,23.35241,-94.777214,-46.9753,-19.800205,193.00835,194.97307,122.96896,107.6171326,300.6461148
2009-09-15T16:45:58.338Z,21.163763,-72.011104,-46.227616,-10.134285,210.98379,194.18132,130.06643,86.17015326,314.8615901
2009-09-15T16:46:01.470Z,22.330585,-88.161486,-56.259311,-11.888057,202.49315,211.22082,129.04615,105.2562758,319.797779
2009-09-15T16:46:04.603Z,20.609455,-95.908496,-75.496653,-34.788792,201.65081,189.43529,136.22505,126.9190461,308.3926759
2009-09-15T16:46:07.735Z,22.126329,-94.87027,-55.253753,-24.150655,199.20695,201.38403,137.05455,112.4126305,314.6790208
2009-09-15T16:46:10.867Z,21.309508,-92.288187,-55.886304,-19.459939,203.51618,196.94389,136.49987,109.6315541,314.385028
2009-09-15T16:46:13.999Z,18.392371,-104.56519,-89.323818,-35.837142,239.39097,221.90688,160.1667,142.1158829,363.5987785
2009-09-15T16:46:17.131Z,18.538202,-111.28485,-79.84347,-33.607212,233.27182,239.77994,159.63955,141.0274521,370.6682446
2009-09-15T16:46:20.263Z,21.863674,-99.745438,-61.43874,-37.059978,205.17819,205.79715,161.99462,122.8711241,332.7052953
2009-09-15T16:46:23.395Z,22.0095,-111.01234,-60.235714,-47.257818,206.61997,198.83964,158.03067,134.8531877,327.4182449
2009-09-15T16:46:26.527Z,22.038639,-119.1586,-52.381282,-30.268554,205.80808,196.17519,152.77152,133.6366567,322.7705195
2009-09-15T16:46:29.659Z,24.372282,-102.94734,-47.555325,-15.820771,199.68606,195.82561,137.18635,114.498736,311.5161099
2009-09-15T16:46:32.791Z,25.480743,-99.408714,-40.4502,-24.807855,187.25942,178.88019,138.54752,110.1532604,293.6998945
