,UT,N_ION,VX_ION,VY_ION,VZ,TX_ION,TY_ION,TZ_ION,VT_ION,TT_ION
1608,2009-09-15T12:23:58.376Z,0.59734696,-7.6821635,5.0363461,-2.7805025,2934.9374,2866.8567,2436.5773,9.597479473,4771.753747
1609,2009-09-15T12:24:01.508Z,0.59734688,1.390938,-2.6399829,-10.395965,3040.6664,3051.1377,2396.5783,10.81574346,4929.369226
1610,2009-09-15T12:24:04.640Z,0.59734688,-8.6535101,-1.4627667,-6.4431947,2805.9284,2874.8633,2365.3461,10.88750116,4661.859645
1611,2009-09-15T12:24:07.772Z,0.65562463,-16.317661,-2.2623618,-0.18647063,2659.9757,2680.0426,2166.5396,16.47480236,4353.388669
1612,2009-09-15T12:24:10.904Z,0.62648576,-5.0668954,7.7346015,-6.2822661,2739.5359,2722.8621,2272.6139,11.17874576,4481.496279
1613,2009-09-15T12:24:14.036Z,0.62648576,-4.6547324,-10.40951,5.6852335,2688.3185,2736.9655,2241.2249,12.74151922,4443.098644
1614,2009-09-15T12:24:17.168Z,0.56820801,-4.5252947,-3.9839659,-5.0228746,2921.2067,2997.9287,2443.8124,7.847263578,4846.982992
1615,2009-09-15T12:24:20.301Z,0.56820801,6.4422093,-2.9489598,1.6423235,3065.7899,2957.1534,2519.9936,7.272939643,4949.160705
1616,2009-09-15T12:24:23.433Z,0.56820801,-4.3941276,0.76992766,-1.3068758,3013.2597,2986.6884,2517.1776,4.648555724,4933.175923
1617,2009-09-15T12:24:26.565Z,0.62648576,-5.1767825,-3.0996225,4.0318596,2857.974,2925.432,2307.9042,7.25690213,4696.01848
1618,2009-09-15T12:24:29.697Z,0.59734688,-8.0127538,-6.5778326,-8.7545641,2896.0213,2847.0868,2401.1859,13.56887975,4717.89533
1619,2009-09-15T12:24:32.829Z,0.59734688,-8.5302728,-1.2272338,-5.8492907,2974.8311,2884.8482,2289.7027,10.41565449,4734.417352
1620,2009-09-15T12:24:35.961Z,0.62648576,-8.7050125,-3.0616227,2.3456965,2848.638,2915.2059,2338.3039,9.521190485,4699.024263
1621,2009-09-15T12:24:39.093Z,0.59734688,-5.4965315,-2.8631979,-12.272964,2872.5585,3042.9257,2377.408,13.74901473,4812.801466
1622,2009-09-15T12:24:42.225Z,0.56820794,-5.8519185,8.7338187,-8.2532734,3082.7739,3094.1265,2463.0821,13.36566725,5014.368071
1623,2009-09-15T12:24:45.357Z,0.62648568,-6.1297839,-0.63780596,4.1375841,2862.682,2842.5783,2302.3864,7.422981159,4645.016982
1624,2009-09-15T12:24:48.489Z,0.62648568,-2.239083,-4.5198728,4.6369563,2774.5357,2753.491,2268.8631,6.851576938,4519.679281
1625,2009-09-15T12:24:51.622Z,0.56820794,-16.908471,1.8243473,-2.2423981,3087.8565,3042.8832,2468.314,17.15380377,4988.644098
1626,2009-09-15T12:24:54.754Z,0.59734681,-5.2400719,-4.9966689,-0.63939801,2939.8942,2966.819,2307.8079,7.268692003,4771.893774
1627,2009-09-15T12:24:57.886Z,0.62648568,-5.4652924,0.13597022,-1.826685,2867.608,2830.0464,2228.5112,5.764085965,4604.193788
1628,2009-09-15T12:25:01.018Z,0.59734681,-7.0372026,-2.0897481,-1.4242487,2935.2903,2851.5683,2369.8487,7.477817323,4729.011924
1629,2009-09-15T12:25:04.150Z,0.62648568,-5.3437395,1.2477555,-3.4762973,2767.0722,2849.0533,2310.0227,6.495928613,4594.561801
1630,2009-09-15T12:25:07.282Z,0.59734681,3.2205625,6.0291567,6.339303,2865.5247,2961.6048,2349.3331,9.322527332,4743.595768
1631,2009-09-15T12:25:10.414Z,0.56820794,1.6594566,0.344903,1.6267464,2981.8097,2964.0343,2455.0647,2.349267575,4868.678578
1632,2009-09-15T12:25:13.546Z,0.62648568,-2.2931853,-6.868576,4.3004093,2845.2539,2764.2217,2259.7797,8.421968608,4565.412977
1633,2009-09-15T12:25:16.678Z,0.56820794,-3.6987067,9.8619151,-1.2555731,3068.4909,3100.8899,2477.0135,10.60727413,5016.647332
1634,2009-09-15T12:25:19.810Z,0.59734681,-5.0053481,-1.3464106,3.773647,2875.6526,2837.94,2366.8646,6.411454031,4682.449077
1635,2009-09-15T12:25:22.942Z,0.59734674,-3.2738671,-2.9793896,-2.9622919,2912.3795,2851.487,2301.1102,5.326362875,4680.602591
1636,2009-09-15T12:25:26.075Z,0.53906901,4.0331305,4.8354247,1.6343819,3084.3765,3243.9753,2661.4792,6.505280767,5207.708294
1637,2009-09-15T12:25:29.207Z,0.56820788,0.77787216,-7.7813384,3.2301098,3043.3187,3003.9369,2392.8858,8.460964585,4900.135515
1638,2009-09-15T12:25:32.339Z,0.62648561,-3.799942,-1.5846697,1.9777498,2881.5546,2730.5137,2208.7571,4.567519188,4542.870228
1639,2009-09-15T12:25:35.471Z,0.56820788,0.82985396,-1.4612885,-1.8959357,3105.8328,3046.967,2458.0996,2.533494396,4997.245133
1640,2009-09-15T12:25:38.603Z,0.62648561,-3.4918124,-1.2192225,1.3365319,2967.6246,2864.3093,2284.6354,3.93262951,4714.936102
1641,2009-09-15T12:25:41.735Z,0.59734674,-1.9739964,0.77378099,3.7848037,2855.6217,2910.8554,2338.0343,4.338218281,4700.431772
1642,2009-09-15T12:25:44.867Z,0.62648561,-7.2327722,1.2476255,2.753531,2777.6162,2851.6015,2192.156,7.839100462,4544.483557
1643,2009-09-15T12:25:47.999Z,0.59734674,7.1489366,-7.7641174,-0.26229926,2819.4562,2766.1769,2332.5622,10.55734883,4587.146643
1644,2009-09-15T12:25:51.131Z,0.59734674,-3.6086552,-10.38573,-6.7574963,2962.3675,2841.9305,2307.4848,12.90540725,4709.211853
1645,2009-09-15T12:25:54.263Z,0.56820788,-4.1786006,8.8432169,-3.7130373,3026.5333,2992.0256,2432.3308,10.46182747,4901.872512
1646,2009-09-15T12:25:57.396Z,0.56820788,0.74788056,4.2332559,-3.1542773,3067.3267,3097.2983,2499.5532,5.331908301,5024.889655
1647,2009-09-15T12:26:00.528Z,0.59734674,-0.70448364,-7.4730162,-0.071497569,3006.3516,2933.0171,2403.4073,7.506489208,4839.122431
1648,2009-09-15T12:26:03.660Z,0.59734667,-1.729092,-1.9446502,-4.1176007,2821.5614,2908.5513,2326.5402,4.870940265,4672.651143
1649,2009-09-15T12:26:06.792Z,0.59734667,0.26260715,-0.4576469,-8.6351959,2850.824,2912.6362,2315.0363,8.651301141,4687.220945
1650,2009-09-15T12:26:09.924Z,0.56820781,-2.8964992,3.1425762,4.1374004,3006.0802,3105.8186,2496.0203,5.948409439,4991.266841
1651,2009-09-15T12:26:13.056Z,0.62648553,-16.355163,-8.6371445,0.56742756,2886.8789,3032.5582,2273.0711,18.50442098,4764.171622
1652,2009-09-15T12:26:16.188Z,0.62648553,5.6357391,-1.7290313,1.4878869,2850.6178,2699.1728,2283.485,6.079877619,4541.570146
1653,2009-09-15T12:26:19.320Z,0.59734667,-9.6923737,6.6377173,-3.0533073,2958.5344,2903.4363,2390.676,12.13771331,4785.206357
1654,2009-09-15T12:26:22.452Z,0.56820781,17.044542,-5.1268907,0.7188222,3098.2464,3023.0143,2438.2794,17.81342543,4968.194103
