UT,B_TOTAL,BX,BY,BZ
2009-09-15T11:09:11.322Z,197.554,-40.9899,136.159,137.143
2009-09-15T11:09:14.454Z,197.417,-41.2393,135.938,137.09
2009-09-15T11:09:17.586Z,197.318,-41.31,135.68,137.182
2009-09-15T11:09:20.718Z,197.134,-41.3116,135.564,137.031
2009-09-15T11:09:23.851Z,196.821,-41.1488,135.457,136.736
2009-09-15T11:09:26.983Z,196.717,-41.1497,135.392,136.651
2009-09-15T11:09:30.115Z,196.584,-41.0553,135.202,136.675
2009-09-15T11:09:33.247Z,196.3,-40.9622,134.917,136.576
2009-09-15T11:09:36.379Z,196.122,-41.0593,134.912,136.297
2009-09-15T11:09:39.511Z,196.006,-40.8948,134.928,136.163
2009-09-15T11:09:42.643Z,195.814,-40.8009,134.702,136.14
2009-09-15T11:09:45.775Z,195.601,-40.8726,134.372,136.137
2009-09-15T11:09:48.907Z,195.307,-40.9707,134.293,135.763
2009-09-15T11:09:52.039Z,195.191,-40.8062,134.31,135.629
2009-09-15T11:09:55.172Z,194.965,-40.7126,134.062,135.577
2009-09-15T11:09:58.304Z,194.852,-41.0445,133.81,135.563
2009-09-15T11:10:01.436Z,194.631,-40.8809,133.762,135.343
2009-09-15T11:10:04.568Z,194.476,-40.9522,133.468,135.388
2009-09-15T11:10:07.700Z,194.343,-40.8834,133.58,135.107
2009-09-15T11:10:10.832Z,194.157,-40.6368,133.598,134.896
2009-09-15T11:10:13.964Z,193.937,-40.6957,133.113,135.042
2009-09-15T11:10:17.096Z,193.765,-40.8627,132.915,134.94
2009-09-15T11:10:20.228Z,193.497,-40.5341,132.927,134.643
2009-09-15T11:10:23.360Z,193.307,-40.6056,132.611,134.659
2009-09-15T11:10:26.492Z,193.146,-40.607,132.509,134.527
2009-09-15T11:10:29.625Z,192.925,-40.4434,132.461,134.308
2009-09-15T11:10:32.757Z,192.748,-40.5405,132.455,134.029
2009-09-15T11:10:35.889Z,192.626,-40.6114,132.183,134.102
2009-09-15T11:10:39.021Z,192.458,-40.5173,131.971,134.098
2009-09-15T11:10:42.153Z,192.21,-40.4496,132.011,133.722
2009-09-15T11:10:45.285Z,192.089,-40.5205,131.739,133.796
2009-09-15T11:10:48.417Z,191.997,-40.5213,131.68,133.72
2009-09-15T11:10:51.549Z,191.761,-40.5932,131.336,133.699
2009-09-15T11:10:54.681Z,191.511,-40.36,131.465,133.283
2009-09-15T11:10:57.813Z,191.494,-40.43,131.258,133.442
2009-09-15T11:11:00.946Z,191.332,-40.4314,131.156,133.31
2009-09-15T11:11:04.078Z,191.135,-40.2677,131.122,133.109
2009-09-15T11:11:07.210Z,190.932,-40.1738,130.888,133.077
2009-09-15T11:11:10.342Z,190.73,-40.1884,130.913,132.759
2009-09-15T11:11:13.474Z,190.469,-40.0123,130.688,132.659
2009-09-15T11:11:16.606Z,190.285,-40.0139,130.572,132.507
2009-09-15T11:11:19.738Z,190.054,-40.0159,130.427,132.318
2009-09-15T11:11:22.870Z,189.828,-39.9223,130.179,132.267
2009-09-15T11:11:26.002Z,189.732,-40.1014,130.179,132.074
2009-09-15T11:11:29.134Z,189.594,-40.1596,129.744,132.286
2009-09-15T11:11:32.267Z,189.269,-39.997,129.631,131.981
2009-09-15T11:11:35.399Z,189.142,-39.9981,129.551,131.877
2009-09-15T11:11:38.531Z,189.04,-40.1644,129.396,131.832
2009-09-15T11:11:41.663Z,188.784,-39.9184,129.37,131.564
2009-09-15T11:11:44.795Z,188.541,-39.9205,129.218,131.366
2009-09-15T11:11:47.927Z,188.48,-40.0737,128.937,131.506
2009-09-15T11:11:51.059Z,188.33,-40.075,128.842,131.384
2009-09-15T11:11:54.191Z,188.115,-39.9242,128.949,131.016
2009-09-15T11:11:57.323Z,188.016,-39.9122,128.736,131.089
2009-09-15T11:12:00.455Z,187.739,-39.8318,128.607,130.842
2009-09-15T11:12:03.588Z,187.536,-39.738,128.373,130.809
2009-09-15T11:12:06.720Z,187.394,-39.8919,128.041,130.884
2009-09-15T11:12:09.852Z,187.354,-39.9878,128.122,130.718
2009-09-15T11:12:12.984Z,187.091,-39.6462,127.986,130.579
2009-09-15T11:12:16.116Z,186.848,-39.5656,127.879,130.36
2009-09-15T11:12:19.248Z,186.692,-39.4714,127.674,130.365
2009-09-15T11:12:22.380Z,186.466,-39.4862,127.684,130.028
2009-09-15T11:12:25.512Z,186.392,-39.5567,127.44,130.14
2009-09-15T11:12:28.644Z,186.197,-39.6411,127.272,129.999
2009-09-15T11:12:31.776Z,186.011,-39.4772,127.246,129.808
2009-09-15T11:12:34.909Z,185.849,-39.4786,127.144,129.676
2009-09-15T11:12:38.041Z,185.514,-39.3731,126.676,129.686
2009-09-15T11:12:41.173Z,185.399,-39.4825,126.861,129.307
2009-09-15T11:12:44.305Z,185.225,-39.4012,126.797,129.145
2009-09-15T11:12:47.437Z,185.018,-39.3774,126.364,129.28
2009-09-15T11:12:50.569Z,184.807,-39.5575,126.292,128.993
2009-09-15T11:12:53.701Z,184.689,-39.393,126.308,128.859
2009-09-15T11:12:56.833Z,184.481,-39.2864,125.919,128.974
2009-09-15T11:12:59.965Z,184.289,-39.5363,125.662,128.873
2009-09-15T11:13:03.097Z,184.207,-39.5626,125.914,128.502
2009-09-15T11:13:06.230Z,184.142,-39.3849,125.811,128.563
2009-09-15T11:13:09.362Z,183.87,-39.2917,125.534,128.473
2009-09-15T11:13:12.494Z,183.702,-39.3059,125.581,128.184
2009-09-15T11:13:15.626Z,183.62,-39.1412,125.619,128.078
2009-09-15T11:13:18.758Z,183.424,-39.1172,125.193,128.223
2009-09-15T11:13:21.890Z,183.328,-39.2963,125.193,128.03
2009-09-15T11:13:25.022Z,183.094,-39.0501,125.182,127.781
2009-09-15T11:13:28.154Z,182.95,-39.0385,124.94,127.816
2009-09-15T11:13:31.286Z,182.672,-38.8498,124.552,127.854
2009-09-15T11:13:34.418Z,182.557,-38.9592,124.738,127.474
2009-09-15T11:13:37.551Z,182.463,-38.7945,124.769,127.359
2009-09-15T11:13:40.683Z,182.226,-38.7837,124.469,127.318
2009-09-15T11:13:43.815Z,182.094,-38.8804,124.492,127.077
2009-09-15T11:13:46.947Z,181.949,-38.7034,124.339,127.072
2009-09-15T11:13:50.079Z,181.651,-38.763,123.803,127.151
2009-09-15T11:13:53.211Z,181.502,-38.9554,123.922,126.763
2009-09-15T11:13:56.343Z,181.342,-38.9311,123.517,126.935
2009-09-15T11:13:59.475Z,181.256,-39.0274,123.569,126.732
2009-09-15T11:14:02.607Z,180.943,-38.839,123.16,126.742
2009-09-15T11:14:05.739Z,180.752,-38.8535,123.192,126.434
2009-09-15T11:14:08.872Z,180.643,-38.8416,122.972,126.497
2009-09-15T11:14:12.004Z,180.416,-38.7736,123.026,126.14
2009-09-15T11:14:15.136Z,180.258,-38.9405,122.835,126.047
2009-09-15T11:14:18.268Z,180.149,-38.9286,122.615,126.11
2009-09-15T11:14:21.400Z,179.976,-38.9301,122.506,125.969
2009-09-15T11:14:24.532Z,179.808,-38.8359,122.294,125.964
2009-09-15T11:14:27.664Z,179.663,-38.85,122.354,125.694
2009-09-15T11:14:30.796Z,179.535,-38.7684,122.319,125.57
2009-09-15T11:14:33.928Z,179.448,-38.6735,122.157,125.632
2009-09-15T11:14:37.060Z,179.211,-38.58,121.902,125.571
2009-09-15T11:14:40.193Z,179.052,-38.4287,122.045,125.251
2009-09-15T11:14:43.325Z,178.895,-38.2518,121.885,125.237
2009-09-15T11:14:46.457Z,178.745,-38.253,121.79,125.114
2009-09-15T11:14:49.589Z,178.572,-38.2546,121.681,124.972
2009-09-15T11:14:52.721Z,178.323,-38.1611,121.419,124.901
2009-09-15T11:14:55.853Z,178.147,-38.2325,121.11,124.927
2009-09-15T11:14:58.985Z,177.98,-38.3295,121.112,124.658
2009-09-15T11:15:02.117Z,177.873,-38.165,121.135,124.533
2009-09-15T11:15:05.249Z,177.638,-38.1542,120.835,124.492
